"Ind","risk","budburst","leafout","Plot"
"SPIALB_SH_7_4","29",93,122,4
"SPIALB_SH_7A_8","26",96,122,8
"SPIALB_SH_7B_8","33",89,122,8
"SPIALB_SH_8_4","29",93,122,4
"SPIALB_SH_9A_4","29",93,122,4
"SPIALB_SH_9B_4","29",93,122,4
"SPIALB_WM_2A_4","28",96,124,4
"SPIALB_WM_2B_4","31",93,124,4
"SPIALB_WM_4A_11","29",93,122,11
"SPIALB_WM_4B_11","29",93,122,11
"SPIALB_WM_4C_11","29",93,122,11
"SPIALB_WM_5_11","14",110,124,11
"SPIALB_WM_7A_8","29",93,122,8
"SPIALB_WM_7A_4","31",93,124,4
"SPIALB_WM_7B_4","29",93,122,4
"SPIALB_WM_7B_8","35",93,128,8
"SPITOM_GR_1_8","21",103,124,8
"SPITOM_GR_1A_11","24",100,124,11
"SPITOM_GR_1B_11","24",100,124,11
"SPITOM_GR_2B_8","35",96,131,8
"SPITOM_GR_2C_8","31",93,124,8
"SPITOM_GR_2D_8","38",93,131,8
"SPITOM_GR_2E_8","38",93,131,8
"SPITOM_HF_13_8","21",103,124,8
"SPITOM_HF_4_8","31",93,124,8
"SPITOM_HF_5_11","28",114,142,11
"SPITOM_HF_6B_8","24",100,124,8
"SPITOM_HF_9A_8","22",100,122,8
"SPITOM_HF_9B_8","28",96,124,8
"SPITOM_SH_9_4","28",96,124,4
"SPITOM_SH_99_4","31",93,124,4
"SPITOM_SH_99B_11","21",103,124,11
"SPITOM_SH_99C_11","21",103,124,11
"SPITOM_SH_99D_11","17",107,124,11
"SPITOM_SH_99E_11","21",103,124,11
"SPITOM_SH_99F_11","28",96,124,11
"SPITOM_WM_4A_8","31",93,124,8
"SPITOM_WM_4B_8","28",96,124,8
"SPITOM_WM_5_8","31",93,124,8
"SPITOM_WM_5A_4","31",93,124,4
"SPITOM_WM_5B_4","31",93,124,4
"SPITOM_WM_5C_4","28",96,124,4
"SPITOM_WM_5D_4","31",93,124,4
"SPITOM_WM_5E_4","28",96,124,4
"VACMYR_WM_5_13","17",114,131,13
"VIBCAS_GR_10_11","19",103,122,11
"VIBCAS_GR_10_4","21",103,124,4
"VIBCAS_GR_12A_4","21",103,124,4
"VIBCAS_GR_12A_8","28",96,124,8
"VIBCAS_GR_12B_8","19",103,122,8
"VIBCAS_GR_12B_4","24",100,124,4
"VIBCAS_GR_5_8","18",110,128,8
"VIBCAS_GR_9_4","19",103,122,4
"VIBCAS_SH_1_4","22",100,122,4
"VIBCAS_SH_1A_8","19",103,122,8
"VIBCAS_SH_1B_8","32",96,128,8
"VIBCAS_SH_5_4","21",103,124,4
"VIBCAS_SH_5A_8","14",110,124,8
"VIBCAS_SH_5B_8","21",103,124,8
"VIBCAS_SH_5C_8","28",96,124,8
"VIBCAS_SH_9_11","28",96,124,11
"VIBCAS_WM_10_11","26",96,122,11
"VIBCAS_WM_4_8","10",114,124,8
"VIBCAS_WM_4_4","21",103,124,4
"VIBCAS_WM_4_11","28",96,124,11
"VIBCAS_WM_9A_11","14",110,124,11
"VIBCAS_WM_9A_8","28",96,124,8
"VIBCAS_WM_9B_11","14",110,124,11
"VIBCAS_WM_9B_8","31",93,124,8
