DATE,JULIAN,TREEID,CIRCUIT,BCON,BBRK,FBUD,FOPN,FPST,SEX,LENGTH,WIDTH,LFIN,L75,L95,TIP,COMMENTS,
4/17/19,107,BELE-01,8,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
4/23/19,113,BELE-01,8,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
4/29/19,119,BELE-01,8,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
5/6/19,126,BELE-01,8,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
5/11/19,131,BELE-01,8,BB,40,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
5/16/19,136,BELE-01,8,BB,50,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
5/21/19,141,BELE-01,8,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
5/27/19,147,BELE-01,8,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
6/3/19,154,BELE-01,8,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
6/8/19,159,BELE-01,8,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
6/14/19,165,BELE-01,8,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
6/24/19,175,BELE-01,8,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
4/1/19,91,BEAL-01,9,SS,0,NS,0,0,M,0,0,0,0,0,0,catkins stiff,
4/11/19,101,BEAL-01,9,SS,0,NS,0,0,M,0,0,0,0,0,0,catkins stiff,
4/17/19,107,BEAL-01,9,SS,0,NS,0,0,M,0,0,0,0,0,0,catkins(few) still stiff,
4/23/19,113,BEAL-01,9,VS,0,MS,0,0,M,0,0,0,0,0,0,catkins swelling,
4/29/19,119,BEAL-01,9,VS,0,VS,0,0,M,0,0,0,0,0,0,some catkins drooping,
5/6/19,126,BEAL-01,9,BB,20,BB,100,0,M,0,0,0,0,0,0,,
5/11/19,131,BEAL-01,9,BB,90,BB,100,0,M,0,0,0,0,0,0,catkins dangling,
5/16/19,136,BEAL-01,9,BB,99,BB,100,10,M,7,4,10,0,0,0,catkins starting to fall,
5/21/19,141,BEAL-01,9,BB,100,BB,100,100,M,11,6,43,0,0,0,,
5/27/19,147,BEAL-01,9,BB,100,BB,100,100,M,13,8,70,65,10,S,,
6/3/19,154,BEAL-01,9,BB,100,BB,100,100,M,13,8,75,75,35,M,,
6/8/19,159,BEAL-01,9,BB,100,BB,100,100,M,13,8,93,80,80,M,,
6/14/19,165,BEAL-01,9,BB,100,BB,100,100,M,13,8,95,80,95,M,,
6/24/19,175,BEAL-01,9,BB,100,BB,100,100,M,13,8,96,80,97,M,,
4/1/19,91,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
4/11/19,101,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
4/17/19,107,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
4/23/19,113,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
4/29/19,119,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
5/6/19,126,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
5/11/19,131,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
5/16/19,136,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
5/21/19,141,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
5/27/19,147,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
6/3/19,154,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
6/8/19,159,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
6/14/19,165,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
6/24/19,175,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
4/1/19,91,QURU-01,11,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,
4/11/19,101,QURU-01,11,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,
4/17/19,107,QURU-01,11,SS,0,ND,0,0,ND,-99,-99,0,0,0,0,,
4/23/19,113,QURU-01,11,MS,0,ND,0,0,ND,-99,-99,0,0,0,0,,
4/29/19,119,QURU-01,11,VS,0,ND,0,0,ND,-99,-99,0,0,0,0,,
5/6/19,126,QURU-01,11,BB,15,ND,0,0,ND,-99,-99,0,0,0,0,,
5/11/19,131,QURU-01,11,BB,100,BB,70,0,ND,-99,-99,0,0,0,0,,
5/16/19,136,QURU-01,11,BB,97,BB,95,0,ND,-99,-99,5,0,0,0,,
5/21/19,141,QURU-01,11,BB,100,BB,100,ND,ND,-99,-99,10,0,0,0,,
5/27/19,147,QURU-01,11,BB,100,BB,100,50,ND,-99,-99,18,0,0,0,,
6/3/19,154,QURU-01,11,BB,100,BB,100,100,ND,-99,-99,50,25,0,0,,
6/8/19,159,QURU-01,11,BB,100,BB,100,100,ND,-99,-99,70,70,15,F,,
6/14/19,165,QURU-01,11,BB,100,BB,100,100,ND,-99,-99,83,80,50,0,,
6/24/19,175,QURU-01,11,BB,100,BB,100,100,ND,-99,-99,95,80,95,F,,
4/1/19,91,QUAL-05,12,NS,0,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,
4/11/19,101,QUAL-05,12,NS,0,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,
4/17/19,107,QUAL-05,12,NS,0,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,
4/23/19,113,QUAL-05,12,SS,0,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,
4/29/19,119,QUAL-05,12,MS,0,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,
5/6/19,126,QUAL-05,12,VS,0,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,
5/11/19,131,QUAL-05,12,BB,2,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,
5/16/19,136,QUAL-05,12,BB,30,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,
5/21/19,141,QUAL-05,12,BB,100,ND,0,0,ND,ND,ND,5,0,0,0,new tree 2005,
5/27/19,147,QUAL-05,12,BB,100,ND,0,0,ND,12,6,18,0,0,0,new tree 2005,
6/3/19,154,QUAL-05,12,BB,100,ND,0,0,ND,19,12,50,20,0,0,new tree 2005,
6/8/19,159,QUAL-05,12,BB,100,ND,0,0,ND,21,14,80,80,35,0,new tree 2005,
6/14/19,165,QUAL-05,12,BB,100,ND,0,0,ND,21,14,93,80,85,0,new tree 2005,
6/24/19,175,QUAL-05,12,BB,100,ND,0,0,ND,21,14,97,80,97,0,new tree 2005,
4/1/19,91,FAGR-01,13,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
4/11/19,101,FAGR-01,13,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
4/17/19,107,FAGR-01,13,SS,0,ND,0,0,ND,0,0,0,0,0,0,,
4/23/19,113,FAGR-01,13,SS,0,ND,0,0,ND,0,0,0,0,0,0,,
4/29/19,119,FAGR-01,13,SS,0,ND,0,0,ND,0,0,0,0,0,0,,
5/6/19,126,FAGR-01,13,MS,0,ND,0,0,ND,0,0,0,0,0,0,,
5/11/19,131,FAGR-01,13,BB,5,ND,0,0,ND,0,0,0,0,0,0,,
5/16/19,136,FAGR-01,13,BB,35,ND,0,0,ND,0,0,0,0,0,0,,
5/21/19,141,FAGR-01,13,BB,100,ND,0,0,ND,12,6,23,0,0,0,,
5/27/19,147,FAGR-01,13,BB,100,ND,0,0,ND,18,9,60,50,10,F,,
6/3/19,154,FAGR-01,13,BB,100,ND,0,0,ND,18,9,70,70,30,F,,
6/8/19,159,FAGR-01,13,BB,100,ND,0,0,ND,18,9,90,80,75,F,,
6/14/19,165,FAGR-01,13,BB,100,ND,0,0,ND,18,9,93,80,80,F,,
6/24/19,175,FAGR-01,13,BB,100,ND,0,0,ND,18,9,96,80,97,F,,
4/1/19,91,ACPE-01,14,SS,0,ND,0,0,ND,0,0,0,0,0,0,outer scales just splitting,
4/11/19,101,ACPE-01,14,SS,0,ND,0,0,ND,0,0,0,0,0,0,outer scales split,
4/17/19,107,ACPE-01,14,MS,0,ND,0,0,ND,0,0,0,0,0,0,inner sheaths up to ~1cm,
4/23/19,113,ACPE-01,14,VS,0,ND,0,0,ND,0,0,0,0,0,0,inner sheaths up to~3.5cm,
4/29/19,119,ACPE-01,14,VS,0,ND,0,0,ND,0,0,0,0,0,0,inner sheaths splitting,
5/6/19,126,ACPE-01,14,BB,40,ND,0,0,ND,0,0,0,0,0,0,,
5/11/19,131,ACPE-01,14,BB,100,BB,50,0,ND,8,7,10,0,0,0,,
5/16/19,136,ACPE-01,14,BB,100,BB,50,0,ND,10,9,15,0,0,0,prob both M&F flwrs,
5/21/19,141,ACPE-01,14,BB,100,BB,100,ND,ND,15,14,40,0,0,0,prob both M&F flwrs,
5/27/19,147,ACPE-01,14,BB,100,BB,100,100,F,18,15,69,55,0,S,fruit dev,
6/3/19,154,ACPE-01,14,BB,100,BB,100,100,F,20,18,75,75,25,S,fruit dev,
6/8/19,159,ACPE-01,14,BB,100,BB,100,100,F,20,18,80,80,50,S,fruit dev,
6/14/19,165,ACPE-01,14,BB,100,BB,100,100,F,20,18,88,80,80,M,fruit dev,
6/24/19,175,ACPE-01,14,BB,100,BB,100,100,F,20,18,95,80,95,S,fruit dev,
4/1/19,91,QUVE-01,15,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/11/19,101,QUVE-01,15,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/17/19,107,QUVE-01,15,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/23/19,113,QUVE-01,15,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/29/19,119,QUVE-01,15,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/6/19,126,QUVE-01,15,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/11/19,131,QUVE-01,15,BB,30,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/16/19,136,QUVE-01,15,BB,50,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/21/19,141,QUVE-01,15,BB,95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/27/19,147,QUVE-01,15,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/3/19,154,QUVE-01,15,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/8/19,159,QUVE-01,15,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/14/19,165,QUVE-01,15,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/24/19,175,QUVE-01,15,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/1/19,91,BEPA-08,16,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2017,
4/11/19,101,BEPA-08,16,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2017,
4/17/19,107,BEPA-08,16,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2017,
4/23/19,113,BEPA-08,16,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2017,
4/29/19,119,BEPA-08,16,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2017,
5/6/19,126,BEPA-08,16,BB,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2017,
5/11/19,131,BEPA-08,16,BB,85,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2017,
5/16/19,136,BEPA-08,16,BB,98,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2017,
5/21/19,141,BEPA-08,16,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2017,
5/27/19,147,BEPA-08,16,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2017,
6/3/19,154,BEPA-08,16,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2017,
6/8/19,159,BEPA-08,16,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2017,
6/14/19,165,BEPA-08,16,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2017,
6/24/19,175,BEPA-08,16,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree fall 2017,
4/1/19,91,CRSP-01,17,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/11/19,101,CRSP-01,17,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/17/19,107,CRSP-01,17,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/23/19,113,CRSP-01,17,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/29/19,119,CRSP-01,17,BB,20,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/6/19,126,CRSP-01,17,BB,65,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/11/19,131,CRSP-01,17,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/16/19,136,CRSP-01,17,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/21/19,141,CRSP-01,17,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/27/19,147,CRSP-01,17,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/3/19,154,CRSP-01,17,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/8/19,159,CRSP-01,17,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/14/19,165,CRSP-01,17,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/24/19,175,CRSP-01,17,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/1/19,91,ACRU-02,18,SS,0,MS,0,0,ND,-99,-99,0,0,0,0,,
4/11/19,101,ACRU-02,18,SS,0,VS,0,0,ND,-99,-99,0,0,0,0,,
4/17/19,107,ACRU-02,18,MS,0,VS,0,0,ND,-99,-99,0,0,0,0,,
4/23/19,113,ACRU-02,18,VS,0,BB,100,10,M,-99,-99,0,0,0,0,,
4/29/19,119,ACRU-02,18,VS,0,BB,100,50,M,-99,-99,0,0,0,0,,
5/6/19,126,ACRU-02,18,BB,20,BB,100,100,M,-99,-99,0,0,0,0,,
5/11/19,131,ACRU-02,18,BB,85,BB,100,100,M,-99,-99,0,0,0,0,,
5/16/19,136,ACRU-02,18,BB,95,BB,100,100,M,-99,-99,5,0,0,0,,
5/21/19,141,ACRU-02,18,BB,100,BB,100,100,M,-99,-99,15,0,0,0,,
5/27/19,147,ACRU-02,18,BB,100,BB,100,100,M,-99,-99,43,15,0,S,,
6/3/19,154,ACRU-02,18,BB,100,BB,100,100,M,-99,-99,65,65,20,S,,
6/8/19,159,ACRU-02,18,BB,100,BB,100,100,M,-99,-99,80,80,60,S,,
6/14/19,165,ACRU-02,18,BB,100,BB,100,100,M,-99,-99,90,80,80,S,,
6/24/19,175,ACRU-02,18,BB,100,BB,100,100,M,-99,-99,95,80,95,F,,
4/1/19,91,ACPE-02,19,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
4/11/19,101,ACPE-02,19,SS,0,ND,0,0,ND,0,0,0,0,0,0,outer scales splitting,
4/17/19,107,ACPE-02,19,MS,0,ND,0,0,ND,0,0,0,0,0,0,inner sheaths up to ~.75cm,
4/23/19,113,ACPE-02,19,VS,0,ND,0,0,ND,0,0,0,0,0,0,inner sheaths up to~2.5cm,
